time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
8822.085692	8.071270	1.919160	4.205626	244
8823.136198	8.112593	1.915121	4.236074	245
8824.160823	8.187003	1.915092	4.274992	246
8825.214322	7.458090	1.918782	3.886887	247
8826.223878	7.941188	1.909190	4.159454	248
8827.269510	7.993889	1.835510	4.355134	249
8828.293810	7.822285	1.900190	4.116579	250
8829.347244	7.888175	1.902074	4.147145	251
8830.363868	7.573451	1.908519	3.968235	252
8831.405281	8.511966	1.893166	4.496153	253
8832.424614	8.228078	1.921731	4.281597	254
8833.486414	7.872256	1.914132	4.112704	255
8834.496328	7.678719	1.857369	4.134192	0
8835.541977	8.050222	1.898782	4.239677	1
8836.572576	8.188067	1.870660	4.377100	2
8837.608286	8.287055	1.915691	4.325882	3
8838.633528	7.887704	1.908488	4.132961	4
8839.688543	7.990041	1.880071	4.249861	5
8840.705394	8.008862	1.909738	4.193696	6
8841.747960	8.203334	1.864577	4.399569	7
8842.765447	8.504049	1.899372	4.477296	8
8843.824518	7.797849	1.876906	4.154631	9
8844.845463	8.140041	1.922662	4.233736	10
8845.879682	8.615912	1.910995	4.508599	11
8846.905190	8.188277	1.878541	4.358848	12
8847.950416	8.201972	1.862447	4.403869	13
8848.981414	7.797160	1.902289	4.098831	14
8850.026886	8.622764	1.913858	4.505435	15
8851.037214	8.158218	1.852667	4.403500	16
8852.089277	8.261322	1.901606	4.344391	17
8853.114241	7.974951	1.861805	4.283452	18
8854.164858	8.508052	1.915957	4.440629	19
8855.173257	8.537403	1.920913	4.444451	20
8856.225871	8.508814	1.917611	4.437196	21
8857.242445	8.534419	1.910636	4.466795	22
8858.292916	8.210245	1.846807	4.445642	23
8859.316623	8.420944	1.895302	4.443061	24
8860.362597	8.565089	1.915367	4.471774	25
8861.377264	8.428974	1.875705	4.493764	26
8862.429480	8.486461	1.899085	4.468710	27
8863.453587	8.191081	1.873276	4.372598	28
8864.504192	8.848497	1.908116	4.637297	29
8865.515461	8.205207	1.871020	4.385420	30
8866.561362	8.790977	1.910241	4.602025	31
8867.592556	8.414009	1.890401	4.450912	32
8868.636006	8.814509	1.906189	4.624153	33
8869.654774	8.552640	1.892765	4.518596	34
8870.696058	8.503444	1.908754	4.454970	35
8871.727506	8.802598	1.928586	4.564277	36
8872.774988	8.752448	1.924552	4.547785	37
8873.785209	8.659093	1.852485	4.674313	38
8874.837837	8.538070	1.881039	4.539017	39
8875.862379	8.399257	1.901096	4.418114	40
8876.902861	9.112236	1.919699	4.746700	41
8877.924284	8.547384	1.881124	4.543765	42
8878.976421	8.888097	1.902574	4.671617	43
8880.002425	8.658338	1.916371	4.518091	44
8881.036664	8.749331	1.918616	4.560231	45
8882.059757	8.983573	1.900420	4.727151	46
8883.107513	8.552793	1.884793	4.537788	47
8884.133237	8.795031	1.881329	4.674903	48
8885.177155	8.814926	1.924726	4.579834	49
8886.193238	8.788938	1.905780	4.611728	50
8887.244186	9.008503	1.900683	4.739614	51
8888.269174	8.748825	1.922494	4.550769	52
8889.317779	9.002617	1.915833	4.699060	53
8890.330593	8.540643	1.859939	4.591895	54
8891.377357	9.079305	1.900883	4.776362	55
8892.408215	8.794607	1.917885	4.585576	56
8893.443669	8.856355	1.843333	4.804533	57
8894.468282	8.910100	1.921454	4.637165	58
8895.520149	9.041082	1.891057	4.780967	59
8896.535984	8.870919	1.918010	4.625064	60
8897.578396	9.252903	1.913098	4.836608	61
8898.612599	8.691021	1.868835	4.650502	62
8899.657124	9.142783	1.907062	4.794172	63
8900.670640	8.952543	1.917405	4.669094	64
8901.725547	9.020674	1.879040	4.800682	65
8902.745398	8.834288	1.908382	4.629204	66
8903.787283	9.304527	1.915879	4.856532	67
8904.812917	8.978580	1.893432	4.741961	68
8905.855627	9.082672	1.915393	4.741936	69
8906.872063	9.190633	1.908408	4.815864	70
8907.923092	9.072069	1.920596	4.723569	71
8908.949880	9.359424	1.923394	4.866097	72
8909.988635	8.857001	1.850565	4.786108	73
8911.012623	9.173842	1.916424	4.786958	74
8912.062368	9.237041	1.916167	4.820582	75
8913.079796	9.172726	1.913238	4.794347	76
8914.123051	9.367257	1.903759	4.920402	77
8915.155326	8.954393	1.904461	4.701799	78
8916.192897	9.405868	1.912449	4.918232	79
8917.211384	9.306648	1.922981	4.839700	80
8918.270863	9.119014	1.886849	4.832933	81
8919.278555	9.473433	1.913308	4.951337	82
8920.330382	9.255864	1.906067	4.856001	83
8921.356583	9.096358	1.853480	4.907718	84
8922.397616	9.097214	1.858468	4.895008	85
8923.427220	9.181343	1.862345	4.929990	86
8924.462533	9.374953	1.922167	4.877283	87
8925.488417	9.437078	1.917094	4.922595	88
8926.537116	9.259874	1.883972	4.915082	89
8927.556997	8.994780	1.847403	4.868878	90
8928.597808	9.582921	1.907308	5.024319	91
8929.632639	9.074460	1.865183	4.865185	92
8930.664807	9.661281	1.919827	5.032371	93
8931.691784	8.974463	1.840075	4.877226	94
8932.741476	9.598236	1.924508	4.987372	95
8933.760274	9.390695	1.908850	4.919557	96
8934.801749	9.626007	1.913818	5.029741	97
8935.829013	9.360580	1.903650	4.917176	98
8936.877411	9.487656	1.896620	5.002403	99
8937.904386	9.382178	1.906118	4.922140	100
8938.937617	9.387537	1.876431	5.002870	101
8939.964352	9.628786	1.925974	4.999437	102
8941.005685	9.456598	1.903502	4.968001	103
8942.039339	9.587574	1.906137	5.029847	104
8943.074882	9.467310	1.910718	4.954844	105
8944.097865	9.439718	1.849100	5.105035	106
8945.153419	9.447722	1.910389	4.945446	107
8946.171201	9.729186	1.912336	5.087593	108
8947.213960	9.354339	1.866987	5.010393	109
8948.239712	9.616995	1.918764	5.012078	110
8949.280897	9.618302	1.900012	5.062233	111
8950.301904	9.494252	1.901404	4.993285	112
8951.354773	9.683445	1.890188	5.123008	113
8952.379763	9.333641	1.886739	4.946969	114
8953.413570	9.833134	1.918206	5.126214	115
8954.440836	9.480197	1.880876	5.040309	116
8955.488634	9.710539	1.915774	5.068730	117
8956.516674	9.708741	1.912985	5.075180	118
8957.550305	9.636245	1.910507	5.043817	119
8958.582086	9.830846	1.920009	5.120210	120
8959.619659	9.728459	1.923306	5.058197	121
8960.640989	9.805105	1.898947	5.163443	122
8961.689494	9.492149	1.873839	5.065618	123
8962.716067	9.827522	1.914514	5.133170	124
8963.765575	9.704391	1.921203	5.051205	125
8964.775218	9.537251	1.844784	5.169847	126
8965.833126	9.650594	1.898591	5.083030	127
8966.850924	9.844049	1.923021	5.119053	128
8967.893971	9.591769	1.876924	5.110367	129
8968.911343	9.836357	1.923301	5.114309	130
8969.960589	9.771419	1.900926	5.140347	131
8970.986854	9.740582	1.902018	5.121184	132
8972.029935	9.715858	1.886671	5.149736	133
8973.054218	9.847455	1.911237	5.152400	134
8974.096388	9.786082	1.904694	5.137877	135
8975.122777	9.993194	1.919415	5.206375	136
8976.165275	9.635347	1.873377	5.143304	137
8977.183284	10.032647	1.906351	5.262751	138
8978.232038	9.745180	1.894029	5.145211	139
8979.260804	9.854604	1.872898	5.261689	140
8980.306261	9.849572	1.921291	5.126539	141
8981.321189	9.884051	1.867244	5.293390	142
8982.365806	9.924308	1.923711	5.158940	143
8983.398799	10.001287	1.913857	5.225724	144
8984.431663	10.024626	1.919768	5.221790	145
8985.460429	9.896491	1.908252	5.186156	146
8986.501191	10.119578	1.911315	5.294562	147
8987.534779	9.815182	1.902479	5.159154	148
8988.577126	10.115690	1.912433	5.289434	149
8989.593232	9.810299	1.887339	5.197954	150
8990.639513	10.007354	1.876662	5.332530	151
8991.659631	10.099622	1.922850	5.252423	152
8992.709200	9.763182	1.854753	5.263872	153
8993.733960	10.112977	1.915622	5.279213	154
8994.776512	10.010233	1.915973	5.224620	155
8995.794212	10.223647	1.916401	5.334817	156
8996.851041	9.980231	1.920472	5.196759	157
8997.863520	10.315884	1.909916	5.401224	158
8998.918410	9.973090	1.914681	5.208749	159
8999.933658	10.311213	1.918014	5.375984	160
9000.984962	9.825076	1.876619	5.235520	161
9002.002181	10.317824	1.909876	5.402355	162
9003.045235	9.882913	1.877705	5.263293	163
9004.078477	10.193944	1.901394	5.361300	164
9005.111813	10.095355	1.916033	5.268885	165
9006.145905	10.128696	1.893975	5.347851	166
9007.188368	10.020100	1.896718	5.282864	167
9008.205127	9.817382	1.816301	5.405152	168
9009.249033	10.109955	1.903986	5.309890	169
9010.281853	10.180276	1.887618	5.393186	170
9011.316740	10.251077	1.932314	5.305078	171
9012.340724	10.446129	1.918434	5.445134	172
9013.394828	9.795850	1.860247	5.265886	173
9014.407920	10.463470	1.918899	5.452849	174
9015.463207	10.154393	1.922870	5.280854	175
9016.483186	10.451635	1.921823	5.438397	176
9017.524142	10.246598	1.926182	5.319643	177
9018.542821	10.409087	1.914181	5.437881	178
9019.599245	10.249376	1.924533	5.325642	179
9020.610070	10.415205	1.924516	5.411856	180
9021.659388	10.425030	1.924217	5.417805	181
9022.679831	10.070325	1.872093	5.379179	182
9023.733102	10.196810	1.883649	5.413328	183
9024.748967	10.346452	1.921168	5.385502	184
9025.791857	10.497085	1.916297	5.477796	185
9026.826625	10.112460	1.884741	5.365437	186
9027.866549	10.307376	1.900123	5.424584	187
9028.887185	10.259179	1.887545	5.435198	188
9029.927221	10.396174	1.914777	5.429445	189
9030.962546	10.126744	1.854632	5.460244	190
9031.994270	10.380432	1.918633	5.410329	191
9033.021208	10.667938	1.924149	5.544239	192
9034.073515	10.234648	1.908077	5.363856	193
9035.095346	10.614651	1.913243	5.547989	194
9036.133683	10.374716	1.921205	5.400109	195
9037.155051	10.282250	1.843518	5.577515	196
9038.210489	10.379173	1.930204	5.377243	197
9039.221684	10.691430	1.915283	5.582167	198
9040.271620	10.358183	1.915451	5.407699	199
9041.289187	10.679298	1.916971	5.570924	200
9042.346333	10.386783	1.923976	5.398603	201
9043.358047	10.718330	1.921168	5.579069	202
9044.406317	10.299155	1.902755	5.412760	203
9045.433724	10.755018	1.920992	5.598678	204
9046.481484	10.247930	1.891838	5.416916	205
9047.494786	10.629606	1.888613	5.628262	206
9048.540658	10.081854	1.849971	5.449737	207
9049.571729	10.676501	1.898159	5.624663	208
9050.608496	10.092390	1.845343	5.469115	209
9051.631509	10.771198	1.915605	5.622872	210
9052.683650	10.505170	1.926923	5.451786	211
9053.709700	10.384915	1.858159	5.588821	212
9054.749974	10.584647	1.925277	5.497727	213
9055.770761	10.603930	1.905601	5.564612	214
9056.817524	10.585506	1.920523	5.511783	215
9057.837630	10.551035	1.896368	5.563812	216
9058.877313	10.755362	1.915434	5.615104	217
9059.912244	10.417375	1.873698	5.559795	218
9060.946389	10.770829	1.920593	5.608077	219
9061.970735	10.661448	1.917952	5.558767	220
9063.023539	10.578142	1.893454	5.586691	221
9064.045870	10.645334	1.913128	5.564360	222
9065.085622	10.615217	1.905828	5.569872	223
9066.113393	10.732976	1.912358	5.612431	224
9067.155704	10.725483	1.922791	5.578079	225
9068.173062	10.771892	1.900607	5.667607	226
9069.222871	10.630227	1.905863	5.577645	227
9070.238670	10.843694	1.894557	5.723604	228
9071.291098	10.694567	1.917169	5.578311	229
9072.316839	10.992881	1.925515	5.709060	230
9073.358757	10.768142	1.933425	5.569464	231
9074.377707	11.051053	1.921836	5.750260	232
9075.433859	10.622360	1.924171	5.520488	233
9076.453726	10.994445	1.917470	5.733829	234
9077.491842	10.294217	1.853364	5.554343	235
9078.514934	10.575876	1.844370	5.734139	236
9079.567738	10.385448	1.870084	5.553467	237
9080.581339	10.862572	1.880176	5.777423	238
9081.627698	10.515351	1.888190	5.569012	239
9082.649664	10.956346	1.892841	5.788309	240
9083.704702	10.598551	1.900937	5.575434	241
9084.717396	10.702915	1.848621	5.789675	242
9085.766103	10.676177	1.912121	5.583421	243
9086.792069	11.111200	1.927563	5.764377	244
9087.834007	10.741051	1.918717	5.598040	245
9088.852797	11.104239	1.908739	5.817579	246
9089.910149	10.448905	1.854285	5.635006	247
9090.920051	11.073800	1.912466	5.790325	248
9091.970128	10.545510	1.848605	5.704577	249
9092.996466	10.720879	1.881581	5.697804	250
9094.036544	10.720789	1.878450	5.707253	251
9095.056536	10.939596	1.910769	5.725233	252
9096.112518	10.631605	1.865454	5.699205	253
9097.126129	10.348456	1.823128	5.676209	254
9098.170546	10.983719	1.915614	5.733784	255
9099.196105	10.949057	1.920111	5.702305	0
9100.237198	11.022099	1.923175	5.731200	1
9101.272484	10.738932	1.886502	5.692512	2
9102.305078	10.946133	1.917834	5.707549	3
9103.340956	10.961717	1.917337	5.717156	4
9104.373217	10.725099	1.892612	5.666824	5
9105.400523	11.063163	1.920606	5.760245	6
9106.448784	10.706287	1.894029	5.652654	7
9107.467784	11.134926	1.924182	5.786837	8
9108.510408	10.849792	1.915477	5.664277	9
9109.543257	11.083199	1.913917	5.790846	10
9110.577749	10.917150	1.924017	5.674144	11
9111.602167	11.122782	1.918202	5.798545	12
9112.654178	10.859235	1.926666	5.636283	13
9113.676735	10.948889	1.887016	5.802224	14
9114.714805	10.581968	1.864017	5.676970	15
9115.736973	11.081017	1.888074	5.868952	16
9116.790148	10.894878	1.924636	5.660746	17
9117.806685	11.303766	1.922208	5.880615	18
9118.849866	10.781604	1.903919	5.662848	19
9119.881576	11.129907	1.915662	5.809952	20
9120.918400	10.835230	1.909365	5.674781	21
9121.941516	11.252075	1.918214	5.865911	22
9122.993588	10.743646	1.884791	5.700179	23
9124.010375	10.855730	1.853971	5.855394	24
9125.053472	10.661439	1.856034	5.744204	25
9126.087063	11.004070	1.889017	5.825289	26
9127.119046	11.020984	1.912020	5.764052	27
9128.147335	11.170340	1.917829	5.824471	28
9129.195873	10.750981	1.869256	5.751477	29
